Fecha/hora,Hora,Estación,Banda,Tarifa base [USD/MWh],Tarifa año [USD/MWh],Demanda [MW],FV [MW],Eólico [MW],Renovable [MW],P neta [MW],Déficit [MW],Excedente renovable [MW],SOC inicio [MWh],Carga desde renovable [MW],Descarga obligatoria [MW],Carga desde red [MW],Descarga económica [MW],Descarga total [MW],SOC fin [MWh],P red para consumo [MW],P red importada total [MW],P exportada [MW],Curtailment / vertido [MW],P T1 neta (+import/-export) [MW],Demanda no abastecida [MW],Costo red horario [USD],Error balance [MW]
2020-10-03 02:00:00,2,Invierno,Valle,32.0,35.322012499999985,9.0,0.0,10.283999999999999,10.283999999999999,-1.283999999999999,0.0,1.283999999999999,9.938924411454865,1.283999999999999,0.0,0.0,0.0,0.0,11.158724411454864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 03:00:00,3,Invierno,Valle,32.0,35.322012499999985,9.5,0.0,10.2025,10.2025,-0.7025000000000006,0.0,0.7025000000000006,11.158724411454864,0.7025000000000006,0.0,4.365970054230707,0.0,0.0,15.973770962974037,0.0,4.365970054230707,0.0,0.0,4.365970054230707,0.0,154.21484883016265,8.881784197001252e-16
2020-10-03 04:00:00,4,Invierno,Resto,65.0,71.74783789062496,11.0,0.0,10.2845,10.2845,0.7155000000000005,0.7155000000000005,0.0,15.973770962974037,0.0,0.0,0.0,0.7155000000000005,0.7155000000000005,15.220613068237194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 05:00:00,5,Invierno,Resto,65.0,71.74783789062496,12.5,0.0,10.1675,10.1675,2.3324999999999996,2.3324999999999996,0.0,15.220613068237194,0.0,0.0,0.0,2.3324999999999996,2.3324999999999996,12.765349910342458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 06:00:00,6,Invierno,Resto,65.0,71.74783789062496,14.0,0.0,10.208,10.208,3.792,3.792,0.0,12.765349910342458,0.0,0.0,0.0,3.792,3.792,8.773770962974037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 07:00:00,7,Invierno,Resto,65.0,71.74783789062496,15.5,3.4627385850922363,10.255,13.717738585092237,1.7822614149077634,1.7822614149077634,0.0,8.773770962974037,0.0,0.0,0.0,1.7822614149077634,1.7822614149077634,6.897706315702707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 08:00:00,8,Invierno,Resto,65.0,71.74783789062496,16.0,5.733014351657992,10.2855,16.01851435165799,-0.018514351657991313,0.0,0.018514351657991313,6.897706315702707,0.018514351657991313,0.0,0.0,0.0,0.0,6.915294949777799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 09:00:00,9,Invierno,Resto,65.0,71.74783789062496,16.0,6.3946373327241,10.2415,16.6361373327241,-0.6361373327241004,0.0,0.6361373327241004,6.915294949777799,0.6361373327241004,0.0,0.0,0.0,0.0,7.519625415865694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 10:00:00,10,Invierno,Resto,65.0,71.74783789062496,15.5,5.360474868389513,10.271,15.631474868389514,-0.13147486838951394,0.0,0.13147486838951394,7.519625415865694,0.13147486838951394,0.0,0.0,0.0,0.0,7.644526540835733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-03 11:00:00,11,Invierno,Resto,65.0,71.74783789062496,15.0,5.775556733750804,10.2625,16.038056733750803,-1.0380567337508033,0.0,1.0380567337508033,7.644526540835733,1.0380567337508033,0.0,0.0,0.0,0.0,8.630680437898995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
